i,s,seq_t,spdup_omp,spdup_grps,spdup_libkpn,GFLOPS_omp,GFLOPS_grps,GFLOPS_libkpn
16,32,0.292258,18.355398,18.919386,1255.6485479724536,47222838414939.63,45815122847850.67,690315769643.945
16,64,0.585057,14.714781,15.022162,1059.3383778560606,-91.35013508285091,-89.4809436926967,-1.2689026095561817
16,128,1.16351,13.177574,14.364297,1000.6732501940963,-51.29270379895252,-47.0550977866009,-0.6754586473053756
16,256,2.329923,12.599725,12.506355,1093.6527373079139,-26.789125804719514,-26.98912817762406,-0.3086314390441082
16,512,4.657649,11.870239,12.49298,1023.7725799718555,-14.224432748844816,-13.515383548858235,-0.16492668359300727
16,1024,9.332702,11.784532,12.153655,975.0238105391842,-7.15058276730314,-6.933409862295121,-0.08642483448002516
16,2048,18.682288,15.153347,17.000026,963.1432723871937,-2.7779379805782862,-2.4761761049178417,-0.04370591517484989
16,4096,37.594617,16.194881,17.207409,963.0740486064801,-1.2916883742441585,-1.2156821233206936,-0.02172080074241018
16,8192,75.848545,16.402133,17.276436,957.4008308267481,-0.6321404676464379,-0.6001499397803498,-0.01082979217394825
16,16384,162.720633,14.841556,15.579308,895.5277765338259,-0.32564102760292046,-0.31022042487806845,-0.005396839354076403
16,32768,330.683388,14.109539,15.327699,882.6251653137169,-0.16855280093886474,-0.15515716471246915,-0.0026944646627663845
32,32,0.596343,14.781176,15.876828,338.5523655569586,-5847039.036624544,-5443537.782182803,-255281.37408532557
32,64,1.171846,12.710462,13.312709,378.6788821511814,-3460263.954833754,-3303726.800299183,-116144.72203476407
32,128,2.337933,11.547589,11.775825,296.95176608283185,-1909051.8677762013,-1872051.1173324944,-74237.46502525496
32,256,4.665701,22.843124,14.025586,312.89617573007786,-483580.41799158,-787595.4311038048,-35304.00276187084
32,512,9.318895,10.756908,11.134971,284.3091017407822,-514149.2831659977,-496692.4958567549,-19452.970388282334
32,1024,18.665083,11.097417,10.951861,263.06446105811585,-248822.28630234266,-252129.2655184799,-10496.60854561599
32,2048,37.447234,12.738144,13.337509,254.00576537464238,-108047.62091525205,-103192.14435588328,-5418.483915299712
32,4096,75.320084,12.92659,13.695654,248.4639643613072,-52935.41684783088,-49962.888232354744,-2754.018804416866
32,8192,151.53641,12.957423,13.589157,245.77054891736367,-26248.559597987318,-25028.314107477876,-1383.8667462397596
32,16384,314.367627,12.220944,13.067487,236.7103573719228,-13415.242773440414,-12546.17132434262,-692.6056489493787
32,32768,638.799379,11.827531,12.674375,232.97611878235716,-6821.54152250113,-6365.757193168841,-346.3101464942046
64,32,1.162449,14.178235,15.386193,186.33075515571005,0.0,0.0,0.0
64,64,2.335751,12.239813,13.019201,120.7263388377728,0.0,0.0,0.0
64,128,4.665764,11.257122,11.449699,139.4812653761885,0.0,0.0,0.0
64,256,9.323026,12.193236,10.713301,92.3705815400851,0.0,0.0,0.0
64,512,18.671847,10.311997,11.256089,73.0075962311959,0.0,0.0,0.0
64,1024,37.324596,10.492501,10.746945,76.4287799212437,0.0,0.0,0.0
64,2048,74.768729,11.368649,12.000421,66.90872062302945,0.0,0.0,0.0
64,4096,150.690193,11.433109,12.017594,65.73270055691903,0.0,0.0,0.0
64,8192,302.746711,11.462566,11.982179,64.6086402350159,0.0,0.0,0.0
64,16384,616.940506,11.06542,11.707626,62.370260382935534,0.0,0.0,0.0
