iterations;size (kB);sequential time (ms); naive;half diamonds;grouped half diamonds
8;16;0.084917;99.058251;217.979132;246.502564
8;32;0.167951;100.033254;196.311450;242.206081
8;64;0.343797;99.457645;185.670065;233.246092
8;128;0.734507;99.655313;197.245866;221.031121
8;256;1.464844;100.433145;170.047986;229.786996
8;512;2.937032;100.237563;168.595549;224.790541
8;1024;5.885504;100.103118;168.324495;223.976820
8;2048;11.794290;99.984899;173.699754;262.730668
8;4096;26.813375;99.896436;154.083221;236.106211
8;8192;59.482700;100.880027;139.475160;213.847073
8;16384;130.560636;99.912565;125.211152;192.674032
8;32768;260.156040;100.030151;125.080510;192.231332
8;65536;518.086850;100.089197;125.088356;193.323111
16;16;0.169341;100.066080;125.645098;77.407124
16;32;0.337225;99.736927;111.605122;72.015856
16;64;0.681166;99.971813;105.989894;67.324571
16;128;1.463866;100.555580;97.293643;62.746482
16;256;2.947344;100.285538;96.018302;62.470087
16;512;5.876320;99.886557;97.255646;65.540383
16;1024;11.791321;100.013860;95.640207;64.047735
16;2048;23.713532;100.543524;97.945203;81.218704
16;4096;53.633308;100.907412;87.025480;72.564323
16;8192;119.779373;100.023880;77.779991;65.597425
16;16384;250.808528;99.974555;73.943121;63.094241
16;32768;500.108257;99.938890;73.831443;63.138237
16;65536;995.426185;99.948026;74.024134;62.488294
32;16;0.336935;101.197025;68.034713;27.593617
32;32;0.678532;99.099372;62.097644;26.818913
32;64;1.364210;100.088308;58.835299;33.927464
32;128;2.927897;100.085637;53.193238;21.529309
32;256;5.871106;100.197055;53.157347;21.365859
32;512;11.759247;99.972352;52.561931;22.234501
32;1024;23.556952;100.124224;51.963880;21.699687
32;2048;47.663041;100.788866;52.731121;29.207253
32;4096;107.258301;100.317338;46.968555;26.133256
32;8192;238.860242;100.314937;42.203521;23.225567
32;16384;490.305838;100.027956;41.055252;22.328997
32;32768;981.431235;99.684252;40.726865;22.693576
32;65536;1947.889278;100.061677;41.213825;22.689826
64;16;0.677653;98.750363;185.153660;21.143475
64;32;1.348118;100.870102;36.574353;15.954583
64;64;2.729879;99.824754;33.778580;14.336900
64;128;5.886552;99.957879;30.062037;12.215089
64;256;11.748383;100.158783;29.498718;11.527865
64;512;23.536509;100.147552;29.201384;11.629690
64;1024;47.196829;100.062240;28.891958;11.625848
64;2048;94.785147;100.467417;29.297693;14.218834
64;4096;215.081303;100.432555;26.033530;12.643305
64;8192;478.298267;100.116703;23.342870;11.351128
64;16384;969.443241;99.988807;23.046972;11.176043
64;32768;1940.371202;100.039079;23.102686;11.269894
64;65536;3861.315681;100.021554;23.477925;11.261216
128;16;1.384432;97.874656;132.868146;27.924766
128;32;2.703965;99.585573;28.644984;16.396000
128;64;5.469197;99.752394;20.025677;12.639743
128;128;11.736650;100.118685;17.138432;10.418426
128;256;23.536715;100.140666;16.423404;9.982703
128;512;47.113592;100.073608;15.996407;9.164239
128;1024;94.307394;100.157797;15.862667;8.971224
128;2048;192.715697;99.499809;15.767699;9.915955
128;4096;430.411196;100.582431;14.187050;8.865096
128;8192;956.225924;100.171822;12.860856;7.990096
128;16384;1925.511631;100.234431;12.681074;8.016350
128;32768;3851.260419;100.210156;12.611245;7.879113
128;65536;7678.534739;100.119365;12.692348;7.885873
256;16;2.686246;99.465194;31.634740;40.801157
256;32;5.385112;99.509240;20.446083;20.982363
256;64;10.914321;99.574207;16.030804;16.828765
256;128;23.516189;99.430146;13.351885;11.476081
256;256;47.080488;99.504677;11.997178;9.975014
256;512;94.184889;99.511251;11.285459;9.147825
256;1024;188.797434;99.488435;10.684182;8.509594
256;2048;383.481590;99.047916;10.522884;8.692639
256;4096;859.843909;100.058187;9.514441;7.845656
256;8192;1911.148789;99.623086;8.453067;7.030375
256;16384;3849.682212;99.337734;8.364525;7.030843
256;32768;7631.596951;99.981600;8.337357;7.048606
256;65536;15296.437557;100.057015;8.347017;7.009629
512;16;5.525546;96.694775;72.124574;120.016936
512;32;11.078039;96.766210;42.544370;60.007969
512;64;22.458977;96.762478;21.341076;31.298655
512;128;48.309223;96.757323;18.350323;22.435012
512;256;94.624910;99.037042;14.188847;16.613281
512;512;187.548808;99.966887;12.488785;14.714265
512;1024;375.787947;99.980183;11.392310;12.884308
512;2048;752.357147;100.341954;11.098926;12.174052
512;4096;1712.688894;99.640739;9.479721;10.555153
512;8192;3804.685847;100.023882;8.536519;9.397220
512;16384;7631.541801;99.960591;8.504054;9.291908
512;32768;15234.017703;99.974558;8.595881;9.294411
512;65536;30577.253910;99.994814;8.532015;9.234627
